Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
Estrone,C18H22O2,30,0.03
Etacelasil,C11H25ClO6Si,25000,25
Etfose,C12H10F17NO3S,89.1,0.0891
Ethalfluralin,C13H14F3N3O4,30,0.03
Ethametsulfuron-Methyl,C15H18N6O6S,1.7,0.0017
"Ethanamine, 2,2'-Thiobis[n,n-Diethyl-",C12H28N2S,1000,1
"Ethanamine, 2-(trimethylsilyl)-",C5H15NSi,1830,1.83
"Ethanamine, N-(2,2-Diethoxyethyl)-2,2-Diethoxy-",C12H27NO4,333000,333
"Ethanamine, N-(2,2-Diethoxyethyl)-2,2-Diethoxy-n",C12H26N2O5,6900,6.9
"Ethanamine, N,2-Dichloro-n-(2-Chloroethyl)-",C4H8Cl3N,2120,2.12
"Ethanamine, N-Ethyl-n-Methyl-",C5H13N,1000000,1000
Ethane,C2H6,60.2,0.0602
"Ethane, 1,1,1-Trichloro-2,2-Diethoxy-",C6H11Cl3O2,5000,5
"Ethane, 1,1,2-Tribromo-",C2H3Br3,500,0.5
"Ethane, 1,1-Bis(methylsulfonyl)-",C4H10O4S2,7100,7.1
"Ethane, 1,1-Difluoro-2-Methoxy-",C3H6F2O,50000,50
"Ethane, 1,1'-Oxybis[2-[(2-Chloroethyl)sulfonyl]-",C8H16Cl2O5S2,3750,3.75
"Ethane, 1,1'-[oxybis(methyleneoxy)]bis-",C6H14O3,100000,100
"Ethane, 1,2-Dibromo-1,2-Dichloro-",C2H2Br2Cl2,700,0.7
"Ethane, 1,2-Diiodo-",C2H4I2,170,0.17
"Ethane, 1-Bromo-2-(ethylsulfonyl)-",C4H9BrO2S,73200,73.2
"Ethane, 1-Chloro-1-Nitro-",C2H4ClNO2,4000,4
"Ethane, 1-Chloro-2-Methoxy-",C3H7ClO,80000,80
"Ethane, 2-Chloro-1,1,1-Trinitro-",C2H2ClN3O6,110000,110
"Ethanediamide, N,n'-Bis(2-Hydroxyethyl)-",C6H12N2O4,136000,136
"Ethanediimidamide, N,n''-Dihydroxy-",C2H6N4O2,19700,19.7
"Ethanedione, Bis(2-Hydroxy-5-Nitrophenyl)-",C14H8N2O8,100,0.1
"Ethane, [(iodomethyl)sulfonyl]-",C3H7IO2S,25000,25
"Ethanesulfinothioic Acid, S-Ethyl Ester",C4H10OS2,110000,110
"Ethanesulfonamide, N-(ethylsulfonyl)-",C4H11NO4S2,700000,700
"Ethanesulfonic Acid, 2-[(aminoiminomethyl)amino]",C3H9N3O3S,39000,39
"Ethanesulfonothioic Acid, S-Ethyl Ester",C4H10O2S2,12000,12
"Ethanesulfonyl Chloride, 1-Chloro-",C2H4Cl2O2S,7000,7
"Ethanimidamide, N,n'-Bis(4-Ethoxyphenyl)-",C18H22N2O2,22200,22.2
"Ethanol, 2,2,2-Tribromo-",C2H3Br3O,34000,34
"Ethanol, 2,2'- (4-Methylphenyl)imino Bis-",C11H17NO2,24000,24
"Ethanol, 2-[(2-Amino-9h-Purin-9-Yl)methoxy]-",C8H11N5O2,17500,17.5
"Ethanol, 2-(2-Butoxyethoxy)-, Carbamate",C9H19NO4,100000,100
"Ethanol, 2,2'-(ethylimino)bis-",C6H15NO2,1000000,1000
"Ethanol, 2- 2-(hexyloxy)ethoxy -",C10H22O3,17000,17
"Ethanol, 2,2'-Thiobis-, Diacetate",C8H14O4S,21600,21.6
"Ethanol, 2-Bromo-2,2-Dichloro-",C2H3BrCl2O,70000,70
"Ethanol, 2-Bromo-, Acetate",C4H7BrO2,35400,35.4
"Ethanol, 2-Butoxy-, Carbamate",C7H15NO3,50000,50
"Ethanol, 2-(butylamino)-",C6H15NO,1000000,1000
"Ethanol, 2-(ethylphenylamino)-",C10H15NO,2000,2
"Ethanol, 2-(hexyloxy)-",C8H18O2,9900,9.9
"Ethanol, 2-Hydrazino-",C2H8N2O,1000000,1000
"Ethanol, 2-Mercapto-",C2H6OS,1000000,1000
"Ethanol, 2-Mercapto-, 1-Acetate",C4H8O2S,3800,3.8
"Ethanol, 2-(octyloxy)-",C10H22O2,1310,1.31
"Ethanol, 2-Phenoxy-, Acetate",C10H12O3,1900,1.9
Ethanolamine,C2H7NO,1000000,1000
"Ethanone, 1-(2,3,4-Trihydroxyphenyl)-",C8H8O4,1600,1.6
"Ethanone, 1-(2-Methyloxiranyl)-",C5H8O2,240000,240
"Ethanone, 1-(3,4,5-Trihydroxyphenyl)-",C8H8O4,5680,5.68
"Ethanone, 1-(4-Hydroxy-3-Methoxyphenyl)-",C9H10O3,5000,5
"Ethanone, 1-(4-Hydroxyphenyl)-2-Phenyl-",C14H12O2,6700,6.7
"Ethanone, 2-(4-Aminophenyl)-1-Phenyl-",C14H13NO,3310,3.31
"Ethanone, 2-(4-Nitrophenyl)-1-Phenyl-",C14H11NO3,1800,1.8
"Ethanone, 2-Hydroxy-1-(4-Hydroxy-3-Methoxyphenyl",C9H10O4,3000,3
"Ethanone, 2-Methoxy-1-Phenyl-",C9H10O2,26000,26
Ethazole,C10H12N4O2S2,3250,3.25
"Ethene, 1,2-Dibromo-, (z)-",C2H2Br2,8910,8.91
"Ethenesulfonamide, N-Phenyl-",C8H9NO2S,5800,5.8
Ethephon,C2H6ClO3P,1000000,1000
Ethidimuron,C7H12N4O3S2,3000,3
Ethinyl Estradiol,C20H24O2,11.3,0.0113
Ethiofencarb,C11H15NO2S,1820,1.82
Ethion,C9H22O4P2S4,2,0.002
Ethiozin,C9H16N4OS,420,0.42
Ethisterone,C21H28O2,68.7,0.0687
Ethoate Methyl,C6H14NO3PS2,8500,8.5
Ethofumesate,C13H18O5S,50,0.05
Ethoxybenzene,C8H10O,569,0.569
Ethoxyethylacetate,C6H12O3,187000,187
Ethoxy-Nonafluorobutane (hfe-7200),C6H5F9O,20,0.02
Ethoxysulfuron,C15H18N4O7S,26,0.026
Ethoxytriethylene Glycol,C8H18O4,1000000,1000
Ethoxyzolamide,C9H10N2O3S2,40,0.04
Ethrane [haloether],C3H2ClF5O,5620,5.62
Ethychlozate,C11H11ClN2O2,225,0.225
Ethyl (1-(4-Methyl)phenylsulfonyl) Cyclobutane C,C14H18O4S,310,0.31
Ethyl (1-(4-Methyl)phenylsulfonyl) Cyclopropane,C13H16O4S,262,0.262
Ethyl 2-Formamido (2-Chlorophenyl) Acrylate,C12H12ClNO3,254,0.254
"Ethyl 2-Formamido (3,4-Dimethoxyphenyl) Acrylate",C14H17NO5,1090,1.09
Ethyl 2-Formamido (3-Chlorophenyl) Acrylate,C12H12ClNO3,197,0.197
Ethyl 2-Formamido (3-Nitrophenyl) Acrylate,C12H12N2O5,895,0.895
Ethyl 2-Formamido (4-Chlorophenyl) Acrylate,C12H12ClNO3,248,0.248
Ethyl 2-Formamido (4-Methoxyphenyl) Acrylate,C13H15NO4,454,0.454
Ethyl 2-Formamido (4-Nitrophenyl) Acrylate,C12H12N2O5,916,0.916
Ethyl 2-Formamido (dioxo-Phenyl) Acrylate,C13H13NO5,1910,1.91
Ethyl 2-Formamido-(furan-3-Yl)acrylate,C10H11NO4,374,0.374
Ethyl 2-Formamido Phenyl Acrylate,C12H13NO3,282,0.282
Ethyl 2-Formamido-(phenylvinyl)acrylate,C14H15NO3,110,0.11
Ethyl 3-Ethoxypropanoate,C7H14O3,55500,55.5
Ethyl 4-Chlorophenoxyacetate,C10H11ClO3,815,0.815
Ethyl Acetate,C4H8O2,80000,80
Ethyl Acrylate,C5H8O2,15000,15
Ethylamine,C2H7N,1000000,1000
Ethylarsine,C2H7As,130,0.13
Ethylbenzene,C8H10,169,0.169
Ethyl Benzenesulfonate,C8H10O3S,1380,1.38
Ethyl Benzoate,C9H10O2,720,0.72
Ethyl Biscoumacetate,C22H16O8,153,0.153
Ethyl B-Phenylpropionate,C11H14O2,220,0.22
Ethylbutyrate,C6H12O2,4900,4.9
Ethylcellulose,C23H24N6O4,59300,59.3
Ethyl Chloroacetate,C4H7ClO2,19400,19.4
Ethyl Cyanoacetate,C5H7NO2,20000,20
Ethylcyclohexane,C8H16,6.3,0.0063
Ethyl Decanoate,C12H24O2,15.9,0.0159
Ethylene,C2H4,131,0.131
Ethylene Cyanohydrin,C3H5NO,1000000,1000
Ethylenediamine Tetraacetic Acid,C10H16N2O8,1000,1
Ethylene Glycol,C2H6O2,1000000,1000
Ethylene Glycol Diacetate,C6H10O4,178000,178
Ethylene Glycol Dimethyl Ether,C4H10O2,1000000,1000
Ethylene Glycol Dinitrate,C2H4N2O6,6800,6.8
Ethylene Glycol Monobenzyl Ether,C8H10O2,30000,30
Ethylene Oxide,C2H4O,1000000,1000
Ethylenethiourea,C3H6N2S,27400,27.4
Ethyl Ethylcarbamate,C5H11NO2,420000,420
Ethyl (ethylthio) Mercury,C4H10HgS,25000,25
Ethyl Formate,C3H6O2,88200,88.2
Ethyl Heptanoate,C9H18O2,290,0.29
Ethyl Hexanoate,C8H16O2,629,0.629
Ethylidene Norbornene,C9H12,8.9,0.0089
Ethylisopentylcarbinol,C8H18O,1540,1.54
Ethyl Isopropylamine,C5H13N,1000000,1000
Ethyl Isopropyl Ether,C5H12O,24200,24.2
Ethyl Isovalerate,C7H14O2,2000,2
Ethyl Lactate,C5H10O3,1000000,1000
Ethylmalonic Acid,C5H8O4,712000,712
Ethyl Mercaptan,C2H6S,15600,15.6
Ethylmercury Chloride,C2H5ClHg,1.5,0.0015
Ethyl Mercury Cyanide,C3H5HgN,25000,25
Ethyl Mercury Thiocyanate-s,C3H5HgNS,25000,25
Ethyl Methacrylate,C6H10O2,5400,5.4
Ethyl Methyl Ether,C3H8O,50000,50
"Ethylmorphine, Hydrochloride, Dihydrate",C19H28ClNO5,125000,125
Ethyl N-Methylnitrosocarbamate,C4H8N2O3,37000,37
Ethyl Nonanoate,C11H22O2,29.5,0.0295
Ethyl Octanoate,C10H20O2,70.1,0.0701
Ethyl Oxalate,C6H10O4,36000,36
Ethyl Propionate,C5H10O2,19200,19.2
Ethyl Propyl Ether,C5H12O,18400,18.4
Ethyl T-Butyl Ether,C6H14O,12000,12
Ethyl(tert-Amyl) Ether,C7H16O,400,0.4
Ethyl Valerate,C7H14O2,2210,2.21
Ethyl Vinyl Ether,C4H8O,10000,10
Ethynyl Benzene,C8H6,456,0.456
Ethyrimol,C11H19N3O,150,0.15
Etobenzanid,C16H15Cl2NO3,92,0.092
Etofenamate,C18H18F3NO4,1.6,0.0016
Etofenprox,C25H28O3,1000,1
Etofylline Nicotinate,C15H15N5O4,20000,20
Etoxazole,C21H23F2NO2,754,0.754
Etridazole,C5H5Cl3N2OS,117,0.117
Etrimfos,C10H17N2O4PS,40,0.04
Eugenol,C10H12O2,2460,2.46
Famotidine,C8H15N7O2S3,1000,1
Famoxadone,C22H18N2O4,520,0.52
Fast Green Fcf,C37H36N2Na2O10S3,60000,60
Fenac,C8H5Cl3O2,200,0.2
Fenaminosulf,C8H10N3NaO3S,20000,20
Fenamiphos,C13H22NO3PS,400,0.4
Fenarimol,C17H12Cl2N2O,14,0.014
Fenazaflor,C15H7Cl2F3N2O2,13,0.013
Fenazaquin,C20H22N2O,10.2,0.0102
Fenbuconazole,C19H17ClN4,20,0.02
Fenbufen,C16H14O3,2.21,0.00221
Fenbutatin Oxide,C60H78OSn2,127,0.127
Fenchlorazole-Ethyl,C12H8Cl5N3O2,90,0.09
(+)-Fenchol,C10H18O,828,0.828
Fenclorim,C10H6Cl2N2,2.5,0.0025
Fenfuram,C12H11NO2,100,0.1
Fenhexamid,C14H17Cl2NO2,20,0.02
Fenitropan,C13H15NO6,30,0.03
Fenitrothion,C9H12NO5PS,38,0.038
Fenothiocarb,C13H19NO2S,30,0.03
Fenoxaprop Ethyl,C18H16ClNO5,90,0.09
Fenoxaprop-p,C16H12ClNO5,270,0.27
Fenoxycarb,C17H19NO4,6,0.006
Fenpiclonil,C11H6Cl2N2,4.8,0.0048
Fenpropathrin,C22H23NO3,33,0.033
Fenpropidin,C19H31N,530,0.53
Fenpropimorph,C20H33NO,1000,1
Fenpyroximate,C24H27N3O4,146,0.146
Fensulfothion,C11H17O4PS2,2000,2
Fensulfothion Sulfone,C11H17O5PS2,85.3,0.0853
Fentanyl,C22H28N2O,200,0.2
Fenthion,C10H15O3PS2,7.5,0.0075
Fenthion Sulfoxide,C10H15O4PS2,3.72,0.00372
Fenthoate,C12H17O4PS2,11,0.011
Fentiazac,C17H12ClNO2S,3.58,0.00358
Fentin Acetate,C20H18O2Sn,9,0.009
Fentrazamide,C16H20ClN5O2,2.3,0.0023
Fenuron,C9H12N2O,4030,4.03
Fenuron Tca,C11H13Cl3N2O3,4800,4.8
Fenvalerate,C25H22ClNO3,240,0.24
Ferbam,C9H18FeN3S6,130,0.13
Ferimzone,C15H18N4,162,0.162
Ferrous Fumarate,C4H2FeO4,1400,1.4
Fervenulin,C7H7N5O2,2000,2
Fipronil,C12H4Cl2F6N4OS,1.9,0.0019
Flamprop,C16H13ClFNO3,18.2,0.0182
Flamprop-Isopropyl,C19H19ClFNO3,18,0.018
Flamprop-Methyl,C17H15ClFNO3,35,0.035
Flamprop-m-Isopropyl,C19H19ClFNO3,12,0.012
Flamprop-M-Methyl,C17H15ClFNO3,16,0.016
Flavoxate,C24H25NO4,10,0.01
Flazasulfuron,C13H12F3N5O5S,2100,2.1
Flocoumafen,C33H25F3O4,1.14,0.00114
Flonicamid,C9H6F3N3O,5200,5.2
Florasulam,C12H8F3N5O3S,6360,6.36
Fluazifop - Butyl,C19H20F3NO4,1,0.001
Fluazifop-p,C15H12F3NO4,780,0.78
Fluazifop-p-Butyl,C19H20F3NO4,2,0.002
Fluazinam,C13H4Cl2F6N4O4,1.76,0.00176
Fluazuron,C20H10Cl2F5N3O3,200,0.2
Flubendiamide,C23H22F7IN2O4S,299,0.299
Flubenzimine,C17H10F6N4S,30,0.03
Fluchloralin,C12H13ClF3N3O4,90,0.09
"Flucycloxuron,(e)-Isomer",C25H20ClF2N3O3,1000,1
"Flucycloxuron,(z)-Isomer",C25H20ClF2N3O3,1000,1
Flucythrinate,C26H23F2NO4,600,0.6
Flucytosine,C4H4FN3O,15000,15
Fludioxonil,C12H6F2N2O2,1.8,0.0018
Flufenamic Acid,C14H10F3NO2,9.09,0.00909
Flufenoxuron,C21H11ClF6N2O3,1520,1.52
Flufenprox,C24H22ClF3O3,2500,2.5
Flumethasone,C22H28F2O5,1,0.001
Flumethazide,C8H6F3N3O4S2,50000,50
Flumetralin,C16H12ClF4N3O4,700,0.7
Flumetsulam,C12H11F2N5O2S,49,0.049
Flumiclorac-Pentyl,C21H23ClFNO5,18.9,0.0189
Flumioxazin,C19H15FN2O4,1.79,0.00179
Fluocortolone,C22H29FO4,290,0.29
Fluometuron,C10H11F3N2O,110,0.11
Fluopicolide,C14H8Cl3F3N2O,2.8,0.0028
Fluoranthene,C16H10,26,0.026
Fluorescein,C20H12O5,50,0.05
Fluorescein Sodium [ban:jan],C20H10Na2O5,40000,40
Fluoroacetamide,C2H4FNO,1000000,1000
Fluoroacetic Acid,C2H3FO2,1000000,1000
"Fluoroacetic Acid, Sodium Salt",C2H2FNaO2,1110000,1110
Fluorobenzene,C6H5F,1540,1.54
Fluorodifen,C13H7F3N2O5,2,0.002
Fluoroethane,C2H5F,2160,2.16
Fluoroglycofenethyl,C18H13ClF3NO7,60,0.06
Fluoromethalone,C22H29FO4,30,0.03
Fluoromethane,CH3F,22700,22.7
Fluoromethyl Sulfone,CH3FO2S,30000,30
Fluothiuron,C10H10Cl2F2N2OS,73000,73
Fluotrimazole,C22H16F3N3,1500,1.5
Fluoxastrobin,C21H16ClFN4O5,2.56,0.00256
Fluphenazine,C22H26F3N3OS,31.1,0.0311
Flupoxam,C19H14ClF5N4O2,1,0.001
Fluquinconazole,C16H8Cl2FN5O,1,0.001
Flurazole,C12H7ClF3NO2S,50,0.05
Flurbiprofen,C15H13FO2,8,0.008
Flurenol,C14H10O3,2450,2.45
Flurenol-Butyl,C18H18O3,36.5,0.0365
Fluridone,C19H14F3NO,12,0.012
Flurochloridone,C12H10Cl2F3NO,35.1,0.0351
Fluroxene,C4H5F3O,4190,4.19
Fluroxypyr,C7H5Cl2FN2O3,73,0.073
Fluroxypyr-2-Butoxy-1-Methylethyl,C14H19Cl2FN2O4,12.6,0.0126
Fluroxypyr-Meptyl,C15H21Cl2FN2O3,900,0.9
Flurprimidol,C15H15F3N2O2,114,0.114
Flurtamone,C18H14F3NO2,35,0.035
Flusilazole,C16H15F2N3Si,40.2,0.0402
Fluspirilene,C29H31F2N3O,10,0.01
Flusulfamide,C13H7Cl2F3N2O4S,2900,2.9
Fluthiacet-Methyl,C15H15ClFN3O3S2,85,0.085
Fluthiamide,C14H13F4N3O2S,56,0.056
Flutolanil,C17H16F3NO2,6.53,0.00653
Flutriafol (pp450),C16H13F2N3O,130,0.13
Fluvalinate,C26H22ClF3N2O3,1120,1.12
Fluxofenim,C12H11ClF3NO3,30,0.03
Folic Acid,C19H19N7O6,1.6,0.0016
Folpet,C9H4Cl3NO2S,80,0.08
Fomesafen,C15H10ClF3N2O6S,50,0.05
Fonophos,C10H15OPS2,15.7,0.0157
Foramsulfuron,C17H20N6O7S,3300,3.3
Forchlorfenuron,C12H10ClN3O,39,0.039
Formamide,CH3NO,1000000,1000
Formamide Oxime,CH3NO,170000,170
Formanilide,C7H7NO,28600,28.6
Formetanate,C11H15N3O2,1000,1
Formetanate Hydrochloride,C11H16ClN3O2,822000,822
Formic Acid,CH2O2,1000000,1000
Formothion,C6H12NO4PS2,2600,2.6
Fosamine Ammonium Salt,C3H11N2O4P,1000000,1000
Fosetyl-Aluminium,C6H18AlO9P3,111000,111
Fosthiazate,C9H18NO3PS2,9850,9.85
Fosthietan,C6H12NO3PS2,50000,50
Fuberidazole,C11H8N2O,71,0.071
Fufural,C5H4O2,74100,74.1
Fumaric Acid,C4H4O4,7000,7
Furalaxyl,C17H19NO4,230,0.23
Furaltadone,C13H16N4O6,750,0.75
Furan,C4H4O,10000,10
"Furan, Tetrahydro-3-Methyl-",C5H10O,106000,106
Furathiocarb,C18H26N2O5S,11,0.011
"Furazan, Di-2-Furoyl-, Monooxide",C12H6N2O6,39,0.039
"Furazan, Dimethyl-, 2-Oxide",C4H6N2O2,33300,33.3
Furazolidone,C8H7N3O5,40,0.04
Furfurin,C15H12N2O3,200,0.2
Furilazole,C11H13Cl2NO3,197,0.197
Furmecyclox,C14H21NO3,30,0.03
Furosemide,C12H11ClN2O5S,73.1,0.0731
Fyrol 6,C9H22NO5P,900000,900
G-32292 (aratone),C8H15N5O,3500,3.5
G 34698,C11H20ClN5O,120,0.12
Galactaric Acid,C6H10O8,3300,3.3
"Galactaric Acid, Diethyl Ester",C10H18O8,22700,22.7
Galactitol,C6H14O6,31000,31
Galactose,C6H12O6,683000,683
"Galatitol, 2,3:4,5-Dianhydro-1,6-Dideoxy-",C6H10O2,100000,100
Galaxolide,C18H26O,1.75,0.00175
Gamma-Aminopropyltriethoxysilane,C9H23NO3Si,54000,54
Gamma-Butyrolactone,C4H6O2,1000000,1000
Gamma-Glycidoxypropyltrimethoxysilane,C9H20O5Si,36500,36.5
Gamma-Hexachlorocyclohexane,C6H6Cl6,7.3,0.0073
Gamma-Terpinene,C10H16,8.68,0.00868
Ganciclovir,C9H13N5O4,4300,4.3
Gentisin,C14H10O5,300,0.3
Gentisyl Alcohol,C7H8O3,1000000,1000
Geraniol,C10H18O,100,0.1
Gibberellic Acid,C19H22O6,5000,5
Gitoxin,C41H64O14,2.34,0.00234
Glafenine,C19H17ClN2O4,40000,40
Glaucarubin,C25H36O10,1800,1.8
Gliotoxin,C13H14N2O4S2,70,0.07
"Glucaramide, N,n'-Dibutyl-, D-",C14H28N2O6,2500,2.5
"Glucopyranose, 2-(n4-Acetylsulfanilamido)-2-Deox",C14H20N2O8S,30000,30
"Glucopyranoside, 5-Formyl-2-Methoxyphenyl, Thios",C15H21N3O7S,500,0.5
"Glucopyranoside, Butyl, Tetranitrate, ?-d-",C10H16N4O14,2.11,0.00211
"Glucopyranoside, Ethyl, Tetranitrate, ?-d-",C8H12N4O14,13.3,0.0133
"Glucopyranoside, Propyl, Tetranitrate, ?-d-",C9H14N4O14,3.87,0.00387
"Glucopyranosiduronic Acid, Benzyl 2-(carboxyamin",C21H23NO8,700,0.7
Glufosinate-Ammonium,C5H15N2O4P,1370000,1370
Glutamic Acid,C5H9NO4,8570,8.57
Glutamic Acid (dl),C5H9NO4,20500,20.5
Glutamic Acid Hydrochloride,C5H10ClNO4,380000,380
"Glutamic Acid, N-(2-Cyanoethyl)-",C8H12N2O4,10000,10
Glutamine,C5H10N2O3,41300,41.3
"Glutaric Acid, 3-Hydroxy-3-(phenylcarbamoyl)-",C12H13NO6,87000,87
Glyburide,C23H28ClN3O5S,4,0.004
Glybuthiazole,C12H16N4O2S2,56.9,0.0569
Glyceric Acid,C3H6O4,1000000,1000
Glycerol,C3H8O3,1000000,1000
Glycerol-.alpha.-Nitrate,C3H7NO5,412000,412
Glycerophosphoric Acid,C3H9O6P,1000000,1000
Glycidylaldehyde,C3H4O2,1000000,1000
Glycidyl N-Butyl Ether,C7H14O2,20000,20
Glycine,C2H5NO2,249000,249
"Glycine, N-(1-Methyl-3-Oxo-1-Butenyl)-, Ethyl Es",C9H15NO3,48000,48
"Glycine, N-(2,4,6-Trinitrophenyl)-",C8H6N4O8,1160,1.16
"Glycine, N-[[[2-(acetyloxy)benzoyl]oxy]acetyl]-,",C15H17NO7,4320,4.32
"Glycine, N-(2-Cyanoethyl)-",C5H8N2O2,270000,270
"Glycine, N-(2-Furanylcarbonyl)-",C7H7NO4,31700,31.7
"Glycine, N-(2-Furanylcarbonyl)-, Ethyl Ester",C9H11NO4,23100,23.1
"Glycine, N-2-Furoyl-2-Phenyl-",C13H11NO4,1400,1.4
"Glycine, N-[(2-Methyl-5-Nitrophenyl)sulfonyl]-",C9H10N2O6S,1350,1.35
"Glycine, N-(3-Nitrobenzoyl)-",C10H10N2O5,3700,3.7
"Glycine, N-[(4-Methylphenyl)sulfonyl]-",C9H11NO4S,8270,8.27
"Glycine, N-Acetyl-",C4H7NO3,26300,26.3
"Glycine, N-(aminocarbonyl)-N-Nitroso-, Ethyl Est",C5H9N3O4,1000000,1000
"Glycine, N-(aminophenylacetyl)-",C10H12N2O3,8000,8
"Glycine, N-[(benzoyloxy)acetyl]-n-Methyl-",C12H13NO5,1400,1.4
"Glycine, N-[(benzoyloxy)acetyl]-n-Methyl-, Ethyl",C14H17NO5,6000,6
"Glycine, N-(carboxymethyl)-",C4H7NO4,23700,23.7
"Glycine, N-(dithiocarboxy)-, N-Ester With Mercap",C5H7NO4S2,10500,10.5
"Glycine, N-(dithiocarboxy)-n-Phenyl-, S-Benzyl E",C16H15NO2S2,38,0.038
"Glycine, N-Dl-Valyl-",C7H14N2O3,500000,500
"Glycine, N-(ethoxycarbonyl)-, Ethyl Ester",C7H13NO4,100000,100
"Glycine, N-[(ethylthio)thioxomethyl]-",C5H9NO2S2,14600,14.6
"Glycine, N-Formyl-",C3H5NO3,191000,191
"Glycine, N-Methyl-n-[[(phenylmethyl)thio]thioxom",C11H13NO2S2,150,0.15
"Glycine, N-[n-(2-Bromo-1-Oxopropyl)glycyl]-, (.+",C7H11BrN2O4,29000,29
"Glycine, N-[n-(2-Naphthalenylsulfonyl)glycyl]-",C14H14N2O5S,650,0.65
"Glycine, N-[n-(aminocarbonyl)glycyl]-",C5H9N3O4,22100,22.1
"Glycine, N-Naphthalene-2-Sulfonyl)-",C12H11NO4S,375,0.375
"Glycine, N,n-Bis(2-Cyanoethyl)-",C8H11N3O2,520000,520
"Glycine, N-(n-Leucylglycyl)-",C10H19N3O4,400000,400
"Glycine, N-(n-L-Leucylglycyl)-",C10H19N3O4,285000,285
"Glycine, N-(n-L-Leucyl-L-Alanyl)-",C11H21N3O4,33000,33
"Glycine, N-[n-(n-Carbamoylglycyl)glycyl]-",C7H12N4O5,10400,10.4
"Glycine, N-[n-[n-[n-(n-Glycylglycyl)glycyl]glycy",C12H20N6O7,500,0.5
"Glycine, N-(phenylacetyl)-",C5H9NO3,7300,7.3
Glycochenodeoxycholic Acid,C26H43NO5,3.15,0.00315
Glycocholic Acid,C26H43NO6,3.3,0.0033
Glycocyamine,C3H7N3O2,3600,3.6
Glycodeoxycholic Acid,C26H43NO5,2.7,0.0027
"Glycolic Acid, Methyl Ester, Nitrate",C3H5NO5,24400,24.4
"Glycolic Acid, Propyl Ester, Nitrate",C5H9NO5,1800,1.8
Glycoursodeoxycholic Acid,C26H43NO5,1.35,0.00135
Glyoxal,C2H2O2,1000000,1000
Glyphosate-Ammonium,C3H11N2O5P,1450000,1450
Glyphosate Isopropylamine Salt,C6H17N2O5P,1050000,1050
Glyphosate-Sodium,C3H7NNaO5P,1000000,1000
Glyphosine,C4H11NO8P2,248000,248
Gossyplure,C18H32O2,20,0.02
Green S,C27H28N2O7S2,40000,40
Griseofulvin,C17H17ClO6,8.64,0.00864
Grotan Bk,C9H21N3O3,3000,3
Guanadrel Sulfate,C20H38N6O8S,7600,7.6
Guanidine,CH5N3,1840,1.84
"Guanidine, 2-Benzothiazolyl-",C8H8N4S,696,0.696
"Guanidine, 2-Benzoxazolyl-",C8H8N4O,303,0.303
"Guanidine, N-Butyl-N,n'-Dinitro-",C5H11N5O4,4000,4
"Guanidine, N-Butyl-N'-Sulfanilyl-",C11H18N4O2S,280,0.28
"Guanidine, N-Cyano,n'-Sulfanilyl-",C8H9N5O2S,2550,2.55
"Guanidine, N-Methyl-N,n'-Dinitro-",C2H5N5O4,40000,40
"Guanidine, N,n'-Bis(4-Ethoxyphenyl)-",C17H21N3O2,1000,1
"Guanidine, N,n'-Bis(4-Methoxyphenyl)-",C15H17N3O2,500,0.5
"Guanidine, N,n'-Diphenyl-, Monoperchlorate",C13H13N3,15800,15.8
"Guanidine, N-Nitro-N'-(phenylmethyl)-",C8H10N4O2,952,0.952
Guanine,C5H5N5O,2080,2.08
Guanosine,C10H13N5O5,700,0.7
"Guanosine, Dihydrate",C10H13N5O5,750,0.75
Guazatine Free Base,C18H41N7,764000,764
Guinea Green B,C37H35N2NaO6S2,30000,30
Gycylglycine,C4H8N2O3,166000,166
Halfenprox,C24H23BrF2O3,500000,500
Halofenozide,C18H19ClN2O2,12.3,0.0123
Haloperidol,C21H23ClFNO2,14,0.014
Halosulfuron-Methyl,C13H17ClN6O7S,15,0.015
Halothane,C2HBrClF3,4070,4.07
Haloxyfop,C15H11ClF3NO4,43.4,0.0434
Haloxyfop-Etotyl,C19H19ClF3NO5,58,0.058
Haloxyfop-Methyl,C16H13ClF3NO4,9.3,0.0093
Harmony,C12H13N5O6S2,2240,2.24
Helicin,C13H16O7,18000,18
Hematein,C16H12O6,600,0.6
Hemimellitic Acid,C9H6O6,30600,30.6
Heptabarbital,C13H18N2O3,250,0.25
Heptachlor,C10H5Cl7,18,0.018
Heptachlor Epoxide,C10H5Cl7O,20,0.02
Heptachlorodibenzo-p-Dioxin,C12HCl7O2,1410000,1410
Heptachloronaphthalene,C10HCl7,62000,62
Heptadecyl Alcohol,C17H36O,8000,8
Heptamethylphenylcyclotetrasiloxane,C13H26O4Si4,109,0.109
Heptanal,C7H14O,1250,1.25
"Heptanedioic Acid, 2,2-Diphenyl-",C19H20O4,116,0.116
"Heptanedioic Acid, 2,6-Diethyl-",C11H20O4,2340,2.34
"Heptanedioic Acid, 2,6-Dimethyl-, (r*,s*)-",C9H16O4,22000,22
Heptanoic Acid,C7H14O2,2820,2.82
"Heptanoic Acid, 2,4-Dioxo-",C7H10O4,38000,38
"Heptanoic Acid, 2-Amino-, (.+-.)-",C7H15NO2,16700,16.7
"Heptanoic Acid, 7-Benzenesulfonylamino",C13H19NO4S,2560,2.56
